"키","위치","현재문구(참고용·수정하지 마세요)","수정문구(여기에 입력하면 교체됩니다)"
"hero-38","히어로(첫화면) · span.vx-fn","펌프 B-02",""
"hero-39","히어로(첫화면) · span.vx-fb","비정상",""
"hero-40","히어로(첫화면) · span.vx-frms","4.12<small>mm/s</small>",""
"hero-41","히어로(첫화면) · span.vx-ft","73°C",""
"hero-42","히어로(첫화면) · span.vx-fn","모터 A-01",""
"hero-43","히어로(첫화면) · span.vx-fb","주의",""
"hero-44","히어로(첫화면) · span.vx-frms","2.84<small>mm/s</small>",""
"hero-45","히어로(첫화면) · span.vx-ft","61°C",""
"hero-46","히어로(첫화면) · span.vx-fn","송풍기 D-01",""
"hero-47","히어로(첫화면) · span.vx-fb","주의",""
"hero-48","히어로(첫화면) · span.vx-frms","2.10<small>mm/s</small>",""
"hero-49","히어로(첫화면) · span.vx-ft","58°C",""
"hero-50","히어로(첫화면) · span.vx-fn","펌프 B-01",""
"hero-51","히어로(첫화면) · span.vx-fb","정상",""
"hero-52","히어로(첫화면) · span.vx-frms","1.33<small>mm/s</small>",""
"hero-53","히어로(첫화면) · span.vx-ft","52°C",""
"hero-54","히어로(첫화면) · span.vx-fn","모터 A-02",""
"hero-55","히어로(첫화면) · span.vx-fb","정상",""
"hero-56","히어로(첫화면) · span.vx-frms","0.91<small>mm/s</small>",""
"hero-57","히어로(첫화면) · span.vx-ft","48°C",""
"hero-58","히어로(첫화면) · span.vx-fn","컴프레서 C",""
"hero-59","히어로(첫화면) · span.vx-fb","정상",""
"hero-60","히어로(첫화면) · span.vx-frms","0.67<small>mm/s</small>",""
"hero-61","히어로(첫화면) · span.vx-ft","45°C",""
"hero-62","히어로(첫화면) · span.nhlt-cta-t","측정 → 상태 판단 → 이상 알림 → 정비 대응",""
"hero-63","히어로(첫화면) · div.gp-eyebrow","<span class=""wd""></span> GLOBAL IoT LEADER · SINCE 2010",""
"hero-64","히어로(첫화면) · div.gp-title","전 세계 <span class=""g"">130개국</span>이 검증한<br>미국 Monnit의 원격 모니터링 기술",""
"hero-65","히어로(첫화면) · div.n","130<span>+</span>",""
"hero-66","히어로(첫화면) · div.l","도입 국가",""
"hero-67","히어로(첫화면) · div.n","90K<span>+</span>",""
"hero-68","히어로(첫화면) · div.l","글로벌 고객사",""
"hero-69","히어로(첫화면) · div.n","72<span>억+</span>",""
"hero-70","히어로(첫화면) · div.l","누적 데이터 포인트",""
"hero-71","히어로(첫화면) · div.n","80<span>+</span>",""
"hero-72","히어로(첫화면) · div.l","센서 종류",""
"hero-73","히어로(첫화면) · div.gp-award","<span class=""trophy"">🏆</span> IoT Breakthrough '올해의 IoT 센서 기업' <b>2024·2025·2026 3년 연속 수상</b>",""
"prob-01","경험+데이터 섹션 · div.problem-eyebrow","EXPERIENCE + CONTINUOUS DATA",""
"prob-02","경험+데이터 섹션 · h2","숙련자의 판단에,<br><span class=""u"">놓치지 않는 데이터를</span><br class=""br-mobile""> 더합니다.",""
"prob-03","경험+데이터 섹션 · p.problem-lead","현장의 소리·열·진동을 읽는 경험은 가장 중요한 기준입니다. 센서는 사람이 보지 않는 시간의 변화를 기록해 그 판단을 뒷받침합니다.",""
"prob-04","경험+데이터 섹션 · span","ACTUAL INSTALLATION · 발전소 오일펌프·냉각수 펌프",""
"prob-05","경험+데이터 섹션 · b","실제 설비와 계측 지점을 <br class=""br-mobile"">현장 사진으로 확인하세요.",""
"prob-06","경험+데이터 섹션 · div.field-photo-badge","<i aria-hidden=""true""></i> 모넷코리아 보유 · 실제 설치 사진",""
"prob-07","경험+데이터 섹션 · button.field-arrow","‹",""
"prob-08","경험+데이터 섹션 · button.field-arrow","›",""
"prob-09","경험+데이터 섹션 · span.field-status","발전소 오일펌프·냉각수 펌프 사진 1 / 6",""
"prob-10","경험+데이터 섹션 · b","현장 경험",""
"prob-11","경험+데이터 섹션 · small","소리·열·진동 감지",""
"prob-12","경험+데이터 섹션 · div.jv-op","+",""
"prob-13","경험+데이터 섹션 · b","연속 데이터",""
"prob-14","경험+데이터 섹션 · small","점검 사이 변화 기록",""
"prob-15","경험+데이터 섹션 · div.jv-op","→",""
"prob-16","경험+데이터 섹션 · b","정비 판단",""
"prob-17","경험+데이터 섹션 · small","우선순위·계획정비",""
"prob-18","경험+데이터 섹션 · small","01",""
"prob-19","경험+데이터 섹션 · h3","점검 사이도 이어서 봅니다",""
"prob-20","경험+데이터 섹션 · p","엔지니어가 확인한 상태 이후의 변화까지 연속 데이터로 남깁니다.",""
"prob-21","경험+데이터 섹션 · small","02",""
"prob-22","경험+데이터 섹션 · h3","경험에 추세 근거를 더합니다",""
"prob-23","경험+데이터 섹션 · p","소음·열감으로 포착한 이상을 데이터로 확인해 계획정비 판단을 보조합니다.",""
"prob-24","경험+데이터 섹션 · small","03",""
"prob-25","경험+데이터 섹션 · h3","숙련자의 시선을 중요한 곳에",""
"prob-26","경험+데이터 섹션 · p","변화가 큰 설비를 먼저 보여 수십·수백 대의 점검 우선순위를 돕습니다.",""
"call-01","컨설팅 안내/전화 CTA · div.kicker","<i></i> WHAT YOU GET FROM CONSULTING",""
"call-02","컨설팅 안내/전화 CTA · h2","<span>컨설팅을 받으면,</span><br>어디부터 검증할지<br class=""br-mobile""> 명확해집니다.",""
"call-03","컨설팅 안내/전화 CTA · p","현장 조건을 함께 확인해 <b>대상 설비·설치 위치·한 달 검증 기준</b>을 정리합니다.",""
"call-04","컨설팅 안내/전화 CTA · span","<b class=""result-icon"" aria-hidden=""true""><i class=""line-icon icon-target""></i></b> 대상 설비 선정",""
"call-05","컨설팅 안내/전화 CTA · span","<b class=""result-icon"" aria-hidden=""true""><i class=""line-icon icon-pin""></i></b> 설치 위치 확인",""
"call-06","컨설팅 안내/전화 CTA · span","<b class=""result-icon"" aria-hidden=""true""><i class=""line-icon icon-check""></i></b> 검증 기준 설정",""
"call-07","컨설팅 안내/전화 CTA · div.call-action-label","<i></i> 무료 현장 컨설팅 · 평일 09:00–18:00",""
"call-08","컨설팅 안내/전화 CTA · span.call-phone-icon","☎",""
"call-09","컨설팅 안내/전화 CTA · small","현장 컨설팅 예약",""
"call-10","컨설팅 안내/전화 CTA · b","02-2088-1454",""
"call-11","컨설팅 안내/전화 CTA · span.call-arrow","→",""
"call-12","컨설팅 안내/전화 CTA · span","통화가 어렵다면",""
"call-13","컨설팅 안내/전화 CTA · b","상담 요청 남기기 →",""
"how-01","작동 방식 · div.eyebrow","작동 방식",""
"how-02","작동 방식 · h2","사람이 보지 않는<br class=""br-mobile"">시간까지 기록합니다",""
"how-03","작동 방식 · p.hsub","센서가 진동·온도를 수집하고 평소 패턴과 비교해, <b>변화가 이어지면 담당자에게 알립니다.</b>",""
"how-04","작동 방식 · div.asset-id","PUMP B-02 · 냉각수 순환펌프",""
"how-05","작동 방식 · div.signal-time","오늘 07:42 업데이트",""
"how-06","작동 방식 · span.status-warn","<i></i> 확인 필요",""
"how-07","작동 방식 · h3","평소보다 높은 진동이<br>3일 연속 이어지고 있습니다.",""
"how-08","작동 방식 · p","한 번의 피크가 아니라 평소 패턴을 벗어난 변화가 이어질 때 알립니다.",""
"how-09","작동 방식 · span","진동 RMS 변화",""
"how-10","작동 방식 · b","1.31 → <em>2.84</em> mm/s",""
"how-11","작동 방식 · span","표면 온도 변화",""
"how-12","작동 방식 · b","52 → <em>61</em> °C",""
"how-13","작동 방식 · div.signal-note","확정 진단이 아니라, 베어링·윤활·축 정렬 상태를 우선 확인할 근거를 제공합니다.",""
"how-14","작동 방식 · div.action-label","보전팀이 바로 판단할 수 있게",""
"how-15","작동 방식 · h3","숫자보다 먼저<br>“오늘 무엇을 볼지”가 보입니다.",""
"how-16","작동 방식 · div.action-num","1",""
"how-17","작동 방식 · b","오늘 점검할 설비를 우선 배치",""
"how-18","작동 방식 · p","변화가 이어지는 설비부터 확인합니다.",""
"how-19","작동 방식 · div.action-num","2",""
"how-20","작동 방식 · b","과거 추세와 변화 속도 비교",""
"how-21","작동 방식 · p","한 번의 수치보다 변화 흐름을 봅니다.",""
"how-22","작동 방식 · div.action-num","3",""
"how-23","작동 방식 · b","계획정지 전 조치 여부 협의",""
"how-24","작동 방식 · p","생산팀과 점검 일정을 조율합니다.",""
"how-25","작동 방식 · div.decision-foot","고장을 단정하지 않고, <b>빠른 점검과 판단을 돕습니다.</b>",""
"how-26","작동 방식 · div.lv","L1 · SENSE",""
"how-27","작동 방식 · div.nm","무선 센서",""
"how-28","작동 방식 · div.lv","L2 · EDGE",""
"how-29","작동 방식 · div.nm","게이트웨이",""
"how-30","작동 방식 · div.lv","L3 · CLOUD",""
"how-31","작동 방식 · div.nm","추세·상태 분석",""
"how-32","작동 방식 · div.lv","L4 · RESPOND",""
"how-33","작동 방식 · div.nm","알림·정비 대응",""
"how-34","작동 방식 · div.pipe-hint","각 단계를 눌러보세요 · 마우스를 올리면 입체로 반응합니다",""
"how-35","작동 방식 · div.fn","01 · 계측",""
"how-36","작동 방식 · h3","3축 진동·온도 상시 수집",""
"how-37","작동 방식 · p","가속도 센서가 RMS 속도·피크 가속도·크레스트 팩터와 표면 온도를 초 단위로 측정합니다.",""
"how-38","작동 방식 · div.farrow","→",""
"how-39","작동 방식 · div.fn","02 · 학습",""
"how-40","작동 방식 · h3","AI가 정상 패턴 학습",""
"how-41","작동 방식 · p","초기 가동 데이터로 설비 고유의 baseline을 학습해, 오탐 없는 판단 기준을 세웁니다.",""
"how-42","작동 방식 · div.farrow","→",""
"how-43","작동 방식 · div.fn","03 · 감지",""
"how-44","작동 방식 · h3","이탈 발생 시 조기 경보",""
"how-45","작동 방식 · p","베어링 마모·불평형·정렬 불량의 징후를 고장 전에 감지해 문자·이메일로 통보합니다.",""
"how-46","작동 방식 · h4","이렇게 이상을 감지합니다",""
"how-47","작동 방식 · span.mk","회전체 불평형",""
"how-48","작동 방식 · span.mv","기본 주파수 진폭(RMS) 상승",""
"how-49","작동 방식 · span.mk","축 정렬 불량·이완",""
"how-50","작동 방식 · span.mv","진폭 증가 · Crest Factor 상승",""
"how-51","작동 방식 · span.mk","베어링 마모·윤활 불량",""
"how-52","작동 방식 · span.mv","Crest Factor(하모닉·노이즈) 상승",""
"how-53","작동 방식 · span.mk","과부하·마찰 발열",""
"how-54","작동 방식 · span.mv","표면 온도 상승 동반",""
"how-55","작동 방식 · h4","기술 사양",""
"how-56","작동 방식 · span.sk","측정 축",""
"how-57","작동 방식 · span.sv","3축 (X·Y·Z)",""
"how-58","작동 방식 · span.sk","측정 지표",""
"how-59","작동 방식 · span.sv","진폭·주파수·CF·온도",""
"how-60","작동 방식 · span.sk","진동 모드",""
"how-61","작동 방식 · span.sv","Accel·Vel·Disp",""
"how-62","작동 방식 · span.sk","샘플레이트",""
"how-63","작동 방식 · span.sv","최대 12.8kHz",""
"how-64","작동 방식 · span.sk","배터리",""
"how-65","작동 방식 · span.sv","최대 10년",""
"how-66","작동 방식 · span.sk","플랫폼",""
"how-67","작동 방식 · span.sv","iMonnit Cloud",""
"dash-01","대시보드 섹션 · div.dashboard-kicker","LIVE CONDITION MONITORING",""
"dash-02","대시보드 섹션 · h2","진동·온도 변화와 설비 상태를<br>한 화면에서 확인합니다.",""
"dash-03","대시보드 섹션 · p","정상·주의·위험 구간과 이상 알림을 설비별로 관리할 수 있습니다.",""
"dash-04","대시보드 섹션 · p","<b>센서 설치 가능 여부와 적정 측정 위치는 현장 조건에 따라 검토합니다.</b><br>대시보드는 판단을 돕는 증거 화면으로 확인하고, 적용 여부는 무료 현장 컨설팅에서 함께 살펴보세요.",""
"dash-05","대시보드 섹션 · a.dashboard-primary","우리 설비 적용 가능 여부 확인하기 →",""
"dash-06","대시보드 섹션 · a.dashboard-secondary","측정·분석 방식 보기",""
"feat-01","핵심 기능 4가지 · div.eyebrow","핵심 기능",""
"feat-02","핵심 기능 4가지 · h2","설비 신뢰성을 지키는 4가지",""
"feat-03","핵심 기능 4가지 · div.ft","24시간 진동 모니터링",""
"feat-04","핵심 기능 4가지 · div.fd","모터·펌프·팬·컴프레서 상시 계측",""
"feat-05","핵심 기능 4가지 · div.ft","AI 이상 조기 감지",""
"feat-06","핵심 기능 4가지 · div.fd","고장 징후를 사전에 자동 경보",""
"feat-07","핵심 기능 4가지 · div.ft","배터리 10년 무선 설치",""
"feat-08","핵심 기능 4가지 · div.fd","배선·전원 공사 없이 즉시 설치",""
"feat-09","핵심 기능 4가지 · div.ft","80여 종 센서군",""
"feat-10","핵심 기능 4가지 · div.fd","진동·온도·전류·누수 등 다양한 응용",""
"sup-01","1개월 체험 절차 · div.eyebrow","1개월 무상 체험",""
"sup-02","1개월 체험 절차 · h2","한 달 데이터를 보고<br class=""br-mobile"">결정하세요",""
"sup-03","1개월 체험 절차 · p.ssub","설명보다 귀사 설비의 실제 데이터로 판단합니다.",""
"sup-04","1개월 체험 절차 · div.num","STEP 01",""
"sup-05","1개월 체험 절차 · h3","무료 현장 컨설팅",""
"sup-06","1개월 체험 절차 · p","적용할 핵심 설비를 고릅니다.",""
"sup-07","1개월 체험 절차 · div.num","STEP 02",""
"sup-08","1개월 체험 절차 · h3","1개월 무상 설치",""
"sup-09","1개월 체험 절차 · p","실제 진동·온도 데이터를 확인합니다.",""
"sup-10","1개월 체험 절차 · div.num","STEP 03",""
"sup-11","1개월 체험 절차 · h3","도입 또는 반납",""
"sup-12","1개월 체험 절차 · p","맞지 않으면 비용 없이 반납합니다.",""
"sup-13","1개월 체험 절차 · div.gt","사전 구매 조건 없음",""
"sup-14","1개월 체험 절차 · div.gs","맞지 않으면 비용·위약금 없이 반납",""
"form-01","신청 폼 · span.dl","8월 한정 · 무료 현장 컨설팅 + 1개월 무상 체험",""
"form-02","신청 폼 · div.eyebrow","무료 현장 컨설팅 신청",""
"form-03","신청 폼 · h2","구매 결정 없이,<br class=""br-mobile"">상담부터 받아보세요",""
"form-04","신청 폼 · p.fsub","연락처를 남기면 체험 가능 여부부터 확인합니다.",""
"form-05","신청 폼 · label","회사명 <span class=""req"">*</span>",""
"form-06","신청 폼 · label","담당자명 <span class=""req"">*</span>",""
"form-07","신청 폼 · label","연락처 <span class=""req"">*</span>",""
"form-08","신청 폼 · label","이메일",""
"form-09","신청 폼 · label","사업장 지역",""
"form-10","신청 폼 · option","선택",""
"form-11","신청 폼 · option","안산 반월",""
"form-12","신청 폼 · option","시흥 시화",""
"form-13","신청 폼 · option","인천 남동",""
"form-14","신청 폼 · option","기타 수도권",""
"form-15","신청 폼 · option","수도권 외",""
"form-16","신청 폼 · label","주요 회전설비",""
"form-17","신청 폼 · option","선택",""
"form-18","신청 폼 · option","모터",""
"form-19","신청 폼 · option","펌프",""
"form-20","신청 폼 · option","팬/블로워",""
"form-21","신청 폼 · option","컴프레서",""
"form-22","신청 폼 · option","여러 종류",""
"form-23","신청 폼 · div.cb-title","개인정보 수집·이용 동의",""
"form-24","신청 폼 · th","수집 항목",""
"form-25","신청 폼 · td","회사명, 담당자명, 연락처 <span style=""color:var(--mut)"">(필수)</span> / 이메일, 사업장 지역, 주요 회전설비 <span style=""color:var(--mut)"">(선택)</span>",""
"form-26","신청 폼 · th","이용 목적",""
"form-27","신청 폼 · td","무료 체험 신청 접수·상담, 담당자 연락 및 서비스 안내",""
"form-28","신청 폼 · th","보유·이용 기간",""
"form-29","신청 폼 · td","동의 철회 시까지 (미철회 시 수집일로부터 최대 3년 후 파기)",""
"form-30","신청 폼 · th","취급자",""
"form-31","신청 폼 · td","모넷코리아 담당 부서 · 제3자 제공 없음",""
"form-32","신청 폼 · div.cb-note","※ 귀하는 개인정보 수집·이용 동의를 거부할 권리가 있습니다. 다만 필수 항목에 동의하지 않으시면 무료 체험 신청이 제한됩니다.",""
"form-33","신청 폼 · span","<span class=""tag req"">[필수]</span> 위 개인정보 수집·이용에 동의합니다.",""
"form-34","신청 폼 · span","<span class=""tag opt"">[선택]</span> 프로모션·뉴스레터 등 마케팅 정보 수신에 동의합니다. (SMS·이메일)",""
"form-35","신청 폼 · a","개인정보처리방침 전문 보기 →",""
"form-36","신청 폼 · button.submit","우리 설비 적용 가능 여부 확인하기",""
"form-37","신청 폼 · p.fnote","신청 후 담당자 확인 · 02-2088-1454 · korea@monnit.com",""
"form-38","신청 폼 · h3","✓ 신청이 접수되었습니다",""
"form-ph-01","신청 폼 (입력창 안내문구) · input","(주)○○○",""
"form-ph-02","신청 폼 (입력창 안내문구) · input","홍길동",""
"form-ph-03","신청 폼 (입력창 안내문구) · input","010-0000-0000",""
"form-ph-04","신청 폼 (입력창 안내문구) · input","name@company.com",""
"pp-01","개인정보처리방침 팝업 · h3","개인정보 수집·이용 방침",""
"pp-02","개인정보처리방침 팝업 · button.modal-x","✕",""
"pp-03","개인정보처리방침 팝업 · div.pp-legend","※ 본 방침은 표준 초안입니다. 게시 전 사내 개인정보보호책임자 또는 법무 검토를 권장합니다.",""
"pp-04","개인정보처리방침 팝업 · p","모넷코리아(이하 '회사')는 「개인정보 보호법」 및 관계 법령을 준수하며, 무료 체험 신청 과정에서 수집하는 개인정보를 다음과 같이 처리합니다.",""
"pp-05","개인정보처리방침 팝업 · h4","1. 수집하는 개인정보 항목",""
"pp-06","개인정보처리방침 팝업 · th","필수",""
"pp-07","개인정보처리방침 팝업 · td","회사명, 담당자명, 연락처",""
"pp-08","개인정보처리방침 팝업 · th","선택",""
"pp-09","개인정보처리방침 팝업 · td","이메일, 사업장 지역, 주요 회전설비",""
"pp-10","개인정보처리방침 팝업 · th","자동 수집",""
"pp-11","개인정보처리방침 팝업 · td","신청 일시, 쿠키, 접속 IP, 기기·브라우저 정보, 페이지 방문·이용 기록, 광고 식별자 (제3항 참조)",""
"pp-12","개인정보처리방침 팝업 · h4","2. 개인정보의 수집·이용 목적",""
"pp-13","개인정보처리방침 팝업 · li","무료 체험 신청 접수 및 본인 확인",""
"pp-14","개인정보처리방침 팝업 · li","상담 진행, 담당자 연락 및 현장 진단 일정 조율",""
"pp-15","개인정보처리방침 팝업 · li","서비스 안내 및 문의 응대",""
"pp-16","개인정보처리방침 팝업 · li","(선택 동의 시) 프로모션·뉴스레터 등 마케팅 정보 발송",""
"pp-17","개인정보처리방침 팝업 · li","웹사이트 이용 분석 및 광고 성과 측정·개선",""
"pp-18","개인정보처리방침 팝업 · h4","3. 자동 수집 장치(쿠키) 및 분석·광고 도구",""
"pp-19","개인정보처리방침 팝업 · p","회사는 웹사이트 이용 분석과 광고 성과 측정을 위해 아래 도구를 사용하며, 이 과정에서 쿠키를 통해 접속 IP·기기·브라우저 정보·페이지 이용 기록·광고 식별자가 자동 수집될 수 있습니다.",""
"pp-20","개인정보처리방침 팝업 · li","Google Tag Manager — 태그 관리",""
"pp-21","개인정보처리방침 팝업 · li","Google Analytics 4 — 웹사이트 방문·이용 분석",""
"pp-22","개인정보처리방침 팝업 · li","Google Ads — 광고 전환 측정 및 리마케팅",""
"pp-23","개인정보처리방침 팝업 · p","정보주체는 브라우저 설정에서 쿠키 저장을 거부할 수 있으며, 이 경우 일부 기능 이용에 제한이 있을 수 있습니다. (Google Analytics 차단: 브라우저용 차단 부가기능 설치)",""
"pp-24","개인정보처리방침 팝업 · h4","4. 개인정보의 국외 이전",""
"pp-25","개인정보처리방침 팝업 · p","위 분석·광고 도구 사용에 따라 아래와 같이 개인정보가 국외로 이전될 수 있습니다.",""
"pp-26","개인정보처리방침 팝업 · th","이전받는 자",""
"pp-27","개인정보처리방침 팝업 · th","국가",""
"pp-28","개인정보처리방침 팝업 · th","항목 · 목적",""
"pp-29","개인정보처리방침 팝업 · th","보유기간",""
"pp-30","개인정보처리방침 팝업 · td","Google LLC",""
"pp-31","개인정보처리방침 팝업 · td","미국",""
"pp-32","개인정보처리방침 팝업 · td","쿠키·이용기록·기기정보·IP / 웹 분석 및 광고 전환 측정·리마케팅",""
"pp-33","개인정보처리방침 팝업 · td","해당 사업자 정책에 따름",""
"pp-34","개인정보처리방침 팝업 · h4","5. 보유 및 이용 기간",""
"pp-35","개인정보처리방침 팝업 · p","수집한 개인정보는 동의 철회 시까지 보유하며, 철회하지 않으신 경우 수집일로부터 최대 3년 경과 시 지체 없이 파기합니다. 관계 법령에 별도의 보존 의무가 있는 경우 해당 기간 동안 보관합니다.",""
"pp-36","개인정보처리방침 팝업 · h4","6. 개인정보의 제3자 제공",""
"pp-37","개인정보처리방침 팝업 · p","회사는 정보주체의 개인정보를 원칙적으로 제3자에게 제공하지 않습니다. 법령에 근거가 있거나 정보주체의 별도 동의가 있는 경우에 한하여 제공할 수 있습니다.",""
"pp-38","개인정보처리방침 팝업 · h4","7. 개인정보 처리의 위탁",""
"pp-39","개인정보처리방침 팝업 · p","회사는 현재 개인정보 처리를 외부에 위탁하지 않습니다.",""
"pp-40","개인정보처리방침 팝업 · h4","8. 정보주체의 권리·의무 및 행사 방법",""
"pp-41","개인정보처리방침 팝업 · p","정보주체는 언제든지 개인정보 열람·정정·삭제·처리정지 및 동의 철회를 요청할 수 있으며, 아래 연락처로 요청하시면 지체 없이 조치합니다. 동의를 거부할 권리가 있으나, 필수 항목 미동의 시 무료 체험 신청이 제한될 수 있습니다.",""
"pp-42","개인정보처리방침 팝업 · h4","9. 개인정보의 파기 절차 및 방법",""
"pp-43","개인정보처리방침 팝업 · p","보유기간이 경과하거나 처리 목적이 달성된 개인정보는 전자적 파일은 복구 불가능한 방법으로 삭제하고, 출력물은 분쇄 또는 소각하여 파기합니다.",""
"pp-44","개인정보처리방침 팝업 · h4","10. 개인정보의 안전성 확보 조치",""
"pp-45","개인정보처리방침 팝업 · p","회사는 접근권한 관리, 접근통제, 전송구간 암호화, 접속기록 보관 등 관계 법령이 요구하는 안전성 확보 조치를 시행합니다.",""
"pp-46","개인정보처리방침 팝업 · h4","11. 개인정보 보호책임자",""
"pp-47","개인정보처리방침 팝업 · th","성명 / 직위",""
"pp-48","개인정보처리방침 팝업 · td","염정훈 / 대표",""
"pp-49","개인정보처리방침 팝업 · th","연락처",""
"pp-50","개인정보처리방침 팝업 · td","02-2088-1454 · korea@monnit.com",""
"pp-51","개인정보처리방침 팝업 · th","주소",""
"pp-52","개인정보처리방침 팝업 · td","서울시 서초구 효령로 380, 2층 모넷코리아",""
"pp-53","개인정보처리방침 팝업 · h4","12. 권익침해 구제 방법",""
"pp-54","개인정보처리방침 팝업 · p","개인정보 침해에 대한 상담·신고는 아래 기관에 문의하실 수 있습니다.",""
"pp-55","개인정보처리방침 팝업 · li","개인정보분쟁조정위원회 (privacy.go.kr / 1833-6972)",""
"pp-56","개인정보처리방침 팝업 · li","개인정보침해신고센터 (privacy.kisa.or.kr / 118)",""
"pp-57","개인정보처리방침 팝업 · li","대검찰청 사이버수사과 (spo.go.kr / 1301) · 경찰청 사이버수사국 (ecrm.police.go.kr / 182)",""
"pp-58","개인정보처리방침 팝업 · h4","13. 시행일",""
"pp-59","개인정보처리방침 팝업 · p","본 방침은 2026년 7월 22일부터 시행됩니다.",""
"pp-60","개인정보처리방침 팝업 · button","확인",""
"foot-01","푸터 · div.ph","02-2088-1454",""
"foot-02","푸터 · div.fi","korea@monnit.com<br> 모넷코리아(Monnit Korea) · 서울 서초구 효령로 380 2층 · www.monnit.co.kr",""
